,Label,Area,intensity_mean_fluor,mean_chi2,mean_tau,min_fluor,min_chi2,min_tau,STD_fluor,STD_chi2,STD_tau,File Name,ph,Date,selected_analysis
30,31,69.0,400.463768115942,97.4927536231884,960.6231884057971,293.0,58.0,595.0,38.61087167998488,13.198180801744245,194.89083540066065,50-3,50,2023-10-12,analyze_single_fitted_channel
31,32,30.0,434.9,104.9,995.7333333333333,419.0,75.0,683.0,10.6061303028013,12.332477447779906,195.0984253026035,50-3,50,2023-10-12,analyze_single_fitted_channel
33,34,90.0,330.9555555555556,97.28888888888889,955.5111111111111,283.0,72.0,491.0,20.51119537721946,12.615902173618856,213.1045254456885,50-3,50,2023-10-12,analyze_single_fitted_channel
35,36,69.0,469.17391304347825,103.6086956521739,932.3623188405797,367.0,74.0,561.0,45.554858320185225,12.932620693765886,182.06886505827538,50-3,50,2023-10-12,analyze_single_fitted_channel
36,37,53.0,543.7358490566038,107.16981132075472,935.5094339622641,493.0,83.0,560.0,29.161328064198003,15.220066011629594,168.79289784771913,50-3,50,2023-10-12,analyze_single_fitted_channel
37,38,99.0,633.1717171717172,111.47474747474747,974.929292929293,479.0,77.0,548.0,63.15333918793744,12.44896120313824,171.72860033269743,50-3,50,2023-10-12,analyze_single_fitted_channel
38,39,71.0,318.59154929577466,93.25352112676056,954.4084507042254,244.0,64.0,617.0,41.30872344688166,13.100605630403368,194.57281322655396,50-3,50,2023-10-12,analyze_single_fitted_channel
39,40,126.0,429.13492063492066,98.95238095238095,985.563492063492,305.0,60.0,504.0,59.19289870195354,13.656707836599578,210.42359002402543,50-3,50,2023-10-12,analyze_single_fitted_channel
40,41,32.0,416.5625,103.625,981.0,390.0,87.0,568.0,17.404987611314176,10.169654615570776,206.98958307122606,50-3,50,2023-10-12,analyze_single_fitted_channel
41,42,48.0,437.9583333333333,102.29166666666667,958.875,394.0,69.0,491.0,17.779855564342725,11.490862916054457,207.91350615500346,50-3,50,2023-10-12,analyze_single_fitted_channel
42,43,34.0,413.6764705882353,97.6470588235294,951.1470588235294,370.0,75.0,503.0,24.35608462235849,12.578886027881092,195.47350239459135,50-3,50,2023-10-12,analyze_single_fitted_channel
43,44,170.0,1047.7588235294118,119.10588235294118,1020.3352941176471,679.0,77.0,717.0,164.91036980494633,14.82249762982471,124.45126351154245,50-3,50,2023-10-12,analyze_single_fitted_channel
